30-08-2021 21:43,from work,36 m,36 m,43 km
30-08-2021 21:43,from work,37 m,37 m,32 km
30-08-2021 21:43,from work,42 m,42 m,39 km
30-08-2021 21:43,from work,43 m,43 m,32 km
30-08-2021 21:43,to work,31 m,31 m,42 km
30-08-2021 21:43,to work,38 m,38 m,32 km
30-08-2021 21:43,to work,41 m,41 m,44 km
30-08-2021 21:43,to work,31 m,31 m,42 km
